property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Sector 120 Noida, Amrapali Zodiac, 1325 sqft, Ready to Move, 1 out of 14,Resale, Semi-Furnished, East, None, None, 2, 4, ₹85 Lac, ₹6 415 per sqft
3 BHK Apartment for Sale in Sector 107  Dadri Road Noida, None, 1791 sqft, Ready to Move, 16 out of 22,New Property, Unfurnished, East, Freehold, None, 4, 2, ₹2.50 Cr, ₹13 959 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Panchsheel Greens 2, 700 sqft, Ready to Move, 6 out of 23,Resale, Unfurnished, North - East, Leasehold, None, 2, 3, ₹57 Lac, ₹6 230 per sqft
1 BHK Apartment for Sale in Sector 120 Noida, None, 585 sqft, Ready to Move, 7 out of 22,Resale, Unfurnished, East, Leasehold, None, 1, 1, ₹46 Lac, ₹7 863 per sqft
2 BHK Apartment for Sale in hindon vihar  Sector 49  Noida Noida, None, 750 sqft, Ready to Move, 1 out of 1,Resale, Unfurnished, East, Freehold, None, 1, 1, ₹30 Lac, ₹4 000 per sqft
3 BHK Apartment for Sale in Sector 119  Pusta Road Noida, The Aranya, 1250 sqft, Poss. by Dec '24, 10 out of 22,Resale, Semi-Furnished, None, None, None, 2, 2, ₹60 Lac, ₹4 800 per sqft
2 BHK Apartment for Sale in Sector 44  Dadri Road Noida, Saba Apartments, 1100 sqft, None, 2 out of 3,Resale, Furnished, None, None, None, 2, 1, ₹88 Lac, None
3 BHK Apartment for Sale in Sector 143  Noida Express Way Noida, Logix Blossom Greens, 1575 sqft, None, 10 out of 22,Resale, Unfurnished, None, None, None, 3, None, ₹75 Lac, ₹4 762 per sqft
3 BHK Apartment for Sale in Sector 104  Noida Express Way Noida, ATS One Hamlet, 1450 sqft, Ready to Move, 10 out of 27,Resale, Unfurnished, North - East, Co-operative Society, None, 3, 3, ₹3 Cr, ₹17 055 per sqft
4 BHK Apartment for Sale in Sector 62  NH 24 Noida, None, 2200 sqft, Ready to Move, 7 out of 8,Resale, Semi-Furnished, North, Co-operative Society, 2 Open, 4, 4, ₹1.40 Cr, ₹5 000 per sqft
3 BHK Villa for Sale in Noida Extension Noida, None, 1550 sqft, Ready to Move, None,Resale, Unfurnished, None, Freehold, None, 3, 1, ₹78 Lac, ₹5 032 per sqft
3 BHK Apartment for Sale in Sector 131  Noida Express Way Noida, Jaypee The Orchards, 1400 sqft, Ready to Move, 16 out of 33,New Property, Semi-Furnished, North - East, Leasehold, 1 Covered, 4, 3, ₹93.8 Lac, ₹5 217 per sqft
2 BHK Builder Floor for Sale in Sector 168  Noida Express Way Noida, Lotus Zing, 1125 sqft, Ready to Move, Ground out of 1,Resale, Semi-Furnished, North - East, Leasehold, 1 Covered, 3, 2, ₹80 Lac, ₹7 111 per sqft
3 BHK Apartment for Sale in Sector 150  Pusta Road Noida, ATS Le Grandiose, 1311 sqft, Ready to Move, 18 out of 21,Resale, Unfurnished, None, None, 2 Covered, 2, 4, ₹1.89 Cr, ₹11 631 per sqft
4 BHK Apartment for Sale in Sector 143  Noida Express Way Noida, Sikka Kaamna Greens, 564 sqft, Ready to Move, 12 out of 20,Resale, Unfurnished, North - East, Leasehold, None, 4, 4, ₹1.50 Cr, ₹7 229 per sqft
3 BHK Apartment for Sale in Sector 118 Noida, Supertech The Romano, 1900 sqft, Ready to Move, 9 out of 19,Resale, Unfurnished, North - East, Leasehold, None, 3, 3, ₹1.10 Cr, ₹5 789 per sqft
4 BHK Apartment for Sale in Sector 128  Noida Express Way Noida, Kalpataru Vista, 3905 sqft, Poss. by Oct '24, 17 out of 34,Resale, Semi-Furnished, North - East, None, 2 Covered, 5, None, ₹6.50 Cr, ₹16 645 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Mahagun Mywoods Maverick, 543 sqft, Poss. by Jul '24, 17 out of 18,Resale, Unfurnished, None, None, None, 2, 2, ₹52 Lac, ₹6 118 per sqft
