property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Thimmaiah Road Bangalore, Legacy Belicia, 1662 sqft, Poss. by Jun '24, 3 out of 3,Resale, Semi-Furnished, West, Co-operative Society, 2 Open, 3, 1, ₹4.20 Cr, ₹16 406 per sqft
2 BHK Apartment for Sale in KIADB Industrial Area Bangalore, Prestige Finsbury Park, 999 sqft, Ready to Move, 17 out of 21,New Property, Unfurnished, North, Freehold, None, 2, 2, ₹85 Lac, ₹12 482 per sqft
2 BHK Apartment for Sale in Nagawara Main Road Bangalore, Murthys Residency, 1330 sqft, Ready to Move, 3 out of 5,Resale, Semi-Furnished, None, Freehold, None, 2, 2, ₹75 Lac, ₹5 639 per sqft
2 BHK  House for Sale in Doddagubbi Bangalore, None, 1000 sqft, None, Ground out of 1,Resale, Furnished, West, Freehold, None, 2, 1, ₹79 Lac, ₹6 900 per sqft
3 BHK Apartment for Sale in Whitefield Bangalore, None, 1350 sqft, Ready to Move, 1 out of 18,New Property, Unfurnished, None, None, None, 3, 3, ₹2.90 Cr, ₹14 610 per sqft
2 BHK Apartment for Sale in Borewell Road Bangalore, BM Glorieta Phase II, 1000 sqft, Ready to Move, 2 out of 5,Resale, Furnished, East, Freehold, None, 2, 2, ₹78 Lac, ₹6 300 per sqft
1 BHK Apartment for Sale in Sarjapur Road Bangalore, Abhee Silicon Shine Phase 2, 580 sqft, Poss. by Jul '26, 2 out of 4,Resale, Unfurnished, East, Freehold, 1 Covered , 1, 1, ₹65.8 Lac, ₹8 773 per sqft
3 BHK Apartment for Sale in Chandapura Bangalore, Abhee Pride, 957 sqft, Poss. by Dec '24, 5 out of 8,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹81 Lac, ₹5 956 per sqft
3 BHK Apartment for Sale in Hebbal Bangalore, Century Ethos, 2800 sqft, Ready to Move, 9 out of 20,New Property, Unfurnished, East, Freehold, 2 Covered, 3, 2, ₹3.59 Cr, ₹11 451 per sqft
3 BHK Apartment for Sale in Vajarahalli  Vajarahalli Bangalore, None, 1450 sqft, Ready to Move, 4 out of 4,New Property, Unfurnished, North - West, Freehold, None, 2, 2, ₹79 Lac, ₹5 127 per sqft
