property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Apartment for Sale in Sri Durga Apartment  Sector 11 Dwarka New Delhi, Sri Durga Apartment, 2500 sqft, Ready to Move, 1 out of 10,Resale, Furnished, North - East, Freehold, 1 Covered , 5, 1, ₹3.60 Cr, ₹12 000 per sqft
3 BHK Apartment for Sale in Brindawan Garden Apartment  Sector 12 Dwarka New Delhi, Brindawan Garden Apartment, 1650 sqft, Ready to Move, 2 out of 7,Resale, Semi-Furnished, None, Freehold, 2 Open, 2, 2, ₹2.35 Cr, ₹13 056 per sqft
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi, None, 3300 sqft, Ready to Move, 1 out of 3,New Property, Semi-Furnished, East, Freehold, None, 4, 2, ₹8.50 Cr, ₹23 611 per sqft
3 BHK Apartment for Sale in Amit Apartments  Sector 13 Rohini New Delhi, Amit Apartments, 1000 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, None, ₹1.70 Cr, ₹15 455 per sqft
4 BHK Builder Floor for Sale in Mahavir Enclave New Delhi, None, 1035 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, South -West, Freehold, 1 Covered, 3, 2, ₹88 Lac, ₹7 822 per sqft
3 BHK Apartment for Sale in Moti Nagar  Kirti Nagar New Delhi, None, 1500 sqft, Ready to Move, 7 out of 28,Resale, Furnished, North, Freehold, 1 Covered , 2, 4, ₹2.85 Cr, ₹18 387 per sqft
3 BHK Apartment for Sale in Aakash Ganga Apartments  Sector 6 Dwarka New Delhi, Aakash Ganga Apartments, 1554 sqft, Ready to Move, 5 out of 7,Resale, Unfurnished, South - East, Freehold, None, 2, 2, ₹2.05 Cr, ₹11 389 per sqft
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi, None, 1700 sqft, Ready to Move, Ground out of 4,New Property, Semi-Furnished, East, Freehold, 3 Covered, 4, 3, ₹5 Cr, ₹22 222 per sqft
4 BHK Builder Floor for Sale in Green Park New Delhi, None, 400 sqyrd, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - West, Freehold, 2 Covered , 5, 3, ₹7.95 Cr, ₹22 083 per sqft
3 BHK Apartment for Sale in Saket New Delhi, None, 1300 sqft, Ready to Move, Ground out of 3,Resale, Semi-Furnished, East, Freehold, None, 3, 1, ₹2.25 Cr, ₹15 517 per sqft
3 BHK Apartment for Sale in GH14 New Delhi, None, 1030 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Open, 2, 1, ₹1.16 Cr, ₹10 545 per sqft
4 BHK Builder Floor for Sale in Pamposh Enclave  Greater Kailash New Delhi, None, 2500 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, North, Freehold, None, 4, None, ₹6.50 Cr, ₹16 250 per sqft
4 BHK Builder Floor for Sale in West Punjabi Bagh New Delhi, None, 4000 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, Freehold, 3 Covered , 5, 3, ₹6.20 Cr, ₹13 778 per sqft
4 BHK Builder Floor for Sale in Vasant Kunj New Delhi, None, 2200 sqft, Ready to Move, 1 out of 4,New Property, Furnished, East, Power Of Attorney, 1 Covered , 4, 2, ₹2.15 Cr, ₹10 386 per sqft
3 BHK Apartment for Sale in DDA Flats Munirka  Munirka New Delhi, DDA Flats Munirka, 1250 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, West, Freehold, None, 2, 2, ₹1.75 Cr, ₹12 069 per sqft
4 BHK Builder Floor for Sale in Uttam Nagar West New Delhi, None, 1230 sqft, Ready to Move, 1 out of 4,New Property, Furnished, East, Freehold, 1 Covered, 2, 2, ₹1.08 Cr, ₹8 640 per sqft
4 BHK Builder Floor for Sale in RWA Green Park Extension  Green Park Extension New Delhi, RWA Green Park Extension, 2800 sqft, Ready to Move, None,New Property, Semi-Furnished, North - East, Freehold, 2 Covered, 5, 3, ₹8 Cr, ₹28 571 per sqft
3 BHK Builder Floor for Sale in Phase 2 Ashok Vihar New Delhi, None, 136 sqyrd, Ready to Move, Ground out of 4,New Property, Semi-Furnished, South - East, Freehold, 1 Covered , 3, 2, ₹2.35 Cr, ₹17 407 per sqft
3 BHK Builder Floor for Sale in Uttari Pitampura New Delhi, None, 90 sqyrd, Ready to Move, 1 out of 3,New Property, Unfurnished, North - East, Freehold, 2 Covered, 2, 1, ₹1.65 Cr, ₹18 333 per sqft
2 BHK Apartment for Sale in Emaar Project Commonwealth Games Village 2010  Commonwealth Games Village New Delhi, Emaar Project Commonwealth Games Village 2010, 1450 sqft, Ready to Move, Ground out of 7,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 2, 3, ₹3.26 Cr, ₹22 405 per sqft
3 BHK Apartment for Sale in Munirka Vihar  Munirka New Delhi, None, 2000 sqft, Ready to Move, 2 out of 3,Resale, Furnished, North - East, Freehold, 2 Open, 3, 2, ₹2.50 Cr, ₹12 500 per sqft
2 BHK Builder Floor for Sale in MU BLOCK PITAMPURA New Delhi, None, 800 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, South -West, Freehold, 1 Covered , 2, 1, ₹1.10 Cr, ₹12 222 per sqft
3 BHK Builder Floor for Sale in Vasant Kunj New Delhi, None, 2600 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North, Freehold, None, 3, 2, ₹2.70 Cr, ₹10 000 per sqft
5 BHK Apartment for Sale in DDA Flats Vasant Kunj  Sector C Vasant Kunj New Delhi, DDA Flats Vasant Kunj, 3100 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, North - East, Freehold, 2 Open, 6, 5, ₹3.65 Cr, ₹10 429 per sqft
4 BHK Builder Floor for Sale in Sarvodaya Enclave New Delhi, None, 2100 sqft, Ready to Move, Ground out of 3,Resale, Furnished, East, Freehold, None, 4, 1, ₹6 Cr, ₹22 222 per sqft
3 BHK Builder Floor for Sale in Uttam Nagar New Delhi, None, 820 sqft, Ready to Move, 1 out of 4,New Property, Furnished, East, Freehold, 1 Covered, 2, 1, ₹60 Lac, ₹7 143 per sqft
3 BHK Apartment for Sale in DDA Samridhi Apartment  Sector 18B Dwarka New Delhi, DDA Samridhi Apartment, 1450 sqft, Ready to Move, 6 out of 10,Resale, Unfurnished, North, Freehold, 2 Covered , 2, 4, ₹1.80 Cr, ₹10 000 per sqft
