property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Shipra Sun Tower  Indirapuram Ghaziabad, Shipra Sun Tower, 1526 sqft, Ready to Move, 9 out of 13,Resale, Semi-Furnished, None, None, None, 3, 4, ₹1.25 Cr, None
3 BHK Apartment for Sale in Apex Acacia Valley  Vaishali Ghaziabad, Apex Acacia Valley, 165 sqyrd, Ready to Move, 4 out of 20,Resale, Unfurnished, North - East, Freehold, None, 3, 3, ₹1.15 Cr, ₹7 516 per sqft
2 BHK Builder Floor for Sale in Vasundhara Ghaziabad, None, 750 sqft, Ready to Move, 2 out of 3,Resale, Unfurnished, East, Freehold, None, 2, 1, ₹45 Lac, ₹6 000 per sqft
3 BHK Builder Floor for Sale in Sector 3 Vasundhara Ghaziabad, None, 1200 sqft, Ready to Move, 1 out of 4,Resale, Semi-Furnished, None, Freehold, 1 Covered , 3, 1, ₹95 Lac, ₹6 333 per sqft
3 BHK Builder Floor for Sale in Govindpuram Ghaziabad, None, 950 sqft, Ready to Move, 1 out of 4,Resale, Unfurnished, South - East, Freehold, None, 2, 1, ₹28.5 Lac, ₹2 827 per sqft
3 BHK Apartment for Sale in Mahagun Puram  National Highway 24 Ghaziabad, Mahagun Puram, 980 sqft, Ready to Move, 9 out of 20,New Property, Unfurnished, East, Freehold, None, 3, 3, ₹60 Lac, ₹4 898 per sqft
4 BHK Builder Floor for Sale in Govindpuram Ghaziabad, None, 250 sqm, Ready to Move, 2 out of 3,Resale, Unfurnished, None, None, None, 3, None, ₹95 Lac, ₹3 530 per sqft
1 BHK Apartment for Sale in Builder flat Ghaziabad, None, 500 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, None, None, None, 1, None, ₹17.5 Lac, ₹3 500 per sqft
2 BHK Apartment for Sale in Sare Cresent ParC Springview Floors  National Highway 24 Ghaziabad, Sare Cresent ParC Springview Floors, 738 sqft, Ready to Move, 1 out of 2,Resale, Semi-Furnished, West, Freehold, 2 Open, 2, 3, ₹30 Lac, ₹3 589 per sqft
2 BHK Builder Floor for Sale in Konark Enclave  Sector 17 Vasundhara Ghaziabad, Konark Enclave, 912 sqft, None, 1 out of 4,Resale, Furnished, East, Freehold, 1 Covered, 2, 2, ₹55 Lac, ₹6 031 per sqft
3 BHK Apartment for Sale in Sikka Classic Homes  Kaushambi Ghaziabad, Sikka Classic Homes, 1325 sqft, Ready to Move, 6 out of 6,Resale, Semi-Furnished, East, Freehold, 1 Covered , 3, 4, ₹1.55 Cr, ₹8 708 per sqft
2 BHK Apartment for Sale in Wave City Plots  Wave City Ghaziabad, Wave City Plots, 76 sqm, Ready to Move, 2 out of 3,Resale, Furnished, None, Power Of Attorney, 1 Covered, 2, 3, ₹92 Lac, None
2 BHK Apartment for Sale in Officer City 2  Raj Nagar Extension Ghaziabad, Officer City 2, 1105 sqft, Ready to Move, 15 out of 15,Resale, Semi-Furnished, North, Co-operative Society, None, 2, 2, ₹42 Lac, ₹3 801 per sqft
2 BHK Apartment for Sale in Ajnara Galaxy  Sahibabad Ghaziabad, Ajnara Galaxy, 800 sqft, Ready to Move, 4 out of 4,Resale, Unfurnished, East, Freehold, None, 2, 3, ₹45 Lac, ₹5 625 per sqft
3 BHK Apartment for Sale in Sidharth Vihar Ghaziabad, None, 800 sqft, Ready to Move, Ground out of 4,Resale, Semi-Furnished, None, Freehold, None, 2, 1, ₹36 Lac, ₹3 789 per sqft
1 BHK Apartment for Sale in Wave City Ghaziabad  Mehrauli Ghaziabad, Wave City Ghaziabad, 407 sqft, Ready to Move, 15 out of 15,Resale, Unfurnished, North - East, Freehold, 1 Open, 1, 1, ₹25 Lac, ₹4 464 per sqft
